epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,216.579,1.36982,1.27908,1.87226,0.01966,0.68693,0.83466,0.83188,0.53035,1.34358,1.27932,1.9704,0.00648,0.00028962,0.00028962,0.00028962
38,222.659,1.26315,1.1834,1.72524,0.01726,0.65385,0.8374,0.81623,0.51849,1.30045,1.25072,1.93352,0.00678,0.000293086,0.000293086,0.000293086
39,228.802,1.47943,1.3677,1.76595,0.0139,0.69525,0.84029,0.82232,0.51809,1.28234,1.21018,1.90134,0.00824,0.000296305,0.000296305,0.000296305
40,234.711,1.22789,1.16787,1.7265,0.00837,0.74045,0.82559,0.83122,0.49938,1.27583,1.15799,1.88967,0.00888,0.000299276,0.000299276,0.000299276
41,241.603,1.41908,1.12183,1.83153,0.01026,0.78884,0.81913,0.82734,0.49747,1.27293,1.11049,1.86941,0.00701,0.000302,0.000302,0.000302
42,247.549,1.33693,1.244,1.69177,0.01078,0.81438,0.7937,0.82538,0.50399,1.28415,1.10091,1.85088,0.00787,0.000304476,0.000304476,0.000304476
43,253.673,1.37335,1.09762,1.6788,0.01023,0.82514,0.83363,0.8414,0.54274,1.30434,1.11733,1.84241,0.00912,0.000306705,0.000306705,0.000306705
44,259.495,1.35789,1.10404,1.58989,0.00981,0.814,0.83203,0.85564,0.52376,1.34146,1.13823,1.85051,0.00933,0.000308686,0.000308686,0.000308686
45,265.265,1.26959,1.00495,1.73559,0.00999,0.80353,0.81543,0.87114,0.53148,1.33484,1.15825,1.8347,0.00924,0.00031042,0.00031042,0.00031042
46,270.71,1.38631,1.11644,1.86179,0.01078,0.71272,0.89629,0.89162,0.56678,1.31104,1.17899,1.80434,0.01123,0.000311906,0.000311906,0.000311906
47,276.185,1.30326,1.0492,1.88997,0.00974,0.79417,0.78901,0.90076,0.58909,1.26266,1.16604,1.77994,0.01896,0.000313145,0.000313145,0.000313145
48,281.998,1.41875,1.14428,1.63742,0.02173,0.79742,0.84816,0.91384,0.5997,1.2207,1.12497,1.76192,0.02206,0.000314136,0.000314136,0.000314136
49,287.837,1.40381,1.15906,1.73752,0.0212,0.78696,0.89233,0.9214,0.62017,1.18669,1.06359,1.75097,0.01584,0.00031488,0.00031488,0.00031488
50,293.385,1.36156,1.08807,1.56751,0.02813,0.85354,0.8889,0.92842,0.6187,1.17792,1.01471,1.74917,0.0177,0.000315376,0.000315376,0.000315376
51,298.645,1.21671,1.02974,1.74534,0.02677,0.88137,0.9486,0.94182,0.62526,1.17357,0.97176,1.75549,0.01595,0.000315625,0.000315625,0.000315625
52,303.949,1.3028,0.99409,1.79023,0.02326,0.86347,0.95535,0.94182,0.63063,1.15738,0.92992,1.7445,0.01289,0.000315626,0.000315626,0.000315626
53,309.328,1.24077,1.02966,1.57654,0.012,0.85009,0.9708,0.94724,0.63062,1.16974,0.89396,1.7413,0.01348,0.00031538,0.00031538,0.00031538
54,314.631,1.24698,0.931,1.7629,0.00474,0.87424,0.94085,0.94988,0.63205,1.19124,0.87909,1.7329,0.01484,0.000314886,0.000314886,0.000314886
55,320.141,1.23282,1.08396,1.56051,0.01836,0.86628,0.93563,0.94613,0.62511,1.21696,0.88209,1.73149,0.01558,0.000314145,0.000314145,0.000314145
