epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2732,2.47179,4.91646,2.5977,0.26235,0.00199,0.00444,0.00011,4e-05,2.11695,4.75264,2.7904,0.09557,3.332e-05,3.332e-05,3.332e-05
2,98.1165,2.22019,4.67134,2.50603,0.20667,0.03059,0.01758,0.00098,0.00043,1.80495,4.31221,2.5626,0.06565,7.06931e-05,7.06931e-05,7.06931e-05
3,145.818,2.03142,4.26415,2.30064,0.11305,0.04312,0.04312,0.00664,0.00299,1.73425,4.01993,2.40203,0.0521,0.000107312,0.000107312,0.000107312
4,194.397,1.94225,3.94137,2.11417,0.07935,0.04269,0.13972,0.02699,0.01297,1.69815,3.59248,2.20902,0.04187,0.000143177,0.000143177,0.000143177
5,236.237,1.83126,3.45249,1.95654,0.05501,0.3447,0.19066,0.05031,0.02441,1.64758,3.02044,1.98551,0.0302,0.000178289,0.000178289,0.000178289
6,281.048,1.74804,3.08,1.85061,0.04036,0.386,0.21007,0.09198,0.0455,1.62833,2.66624,1.80364,0.02625,0.000212646,0.000212646,0.000212646
7,331.358,1.72778,2.46978,1.69336,0.04019,0.30821,0.22206,0.14241,0.07347,1.60613,2.76578,1.71054,0.02665,0.000246249,0.000246249,0.000246249
8,384.249,1.72389,2.28038,1.62291,0.03979,0.53459,0.22106,0.17239,0.09245,1.58074,2.56825,1.69427,0.0294,0.000279098,0.000279098,0.000279098
9,436.287,1.6473,1.97059,1.64005,0.03122,0.56684,0.24624,0.19475,0.10779,1.49039,2.09408,1.6228,0.03114,0.000311194,0.000311194,0.000311194
10,490.589,1.68457,1.99361,1.5458,0.03111,0.57971,0.24336,0.20498,0.11438,1.45928,1.91058,1.61744,0.0333,0.000342535,0.000342535,0.000342535
11,545.056,1.56972,1.81681,1.57682,0.0302,0.52397,0.27155,0.2327,0.12926,1.45806,1.77502,1.61625,0.02491,0.000373122,0.000373122,0.000373122
12,595.599,1.56702,1.68936,1.48463,0.03289,0.46274,0.30031,0.27144,0.16144,1.39742,1.70953,1.57201,0.01464,0.000402955,0.000402955,0.000402955
13,645.154,1.53312,1.59721,1.45211,0.02445,0.53918,0.29814,0.31982,0.19515,1.38724,1.55428,1.55168,0.01063,0.000419451,0.000419451,0.000419451
14,692.013,1.46562,1.52649,1.45268,0.01665,0.65298,0.30424,0.33892,0.20902,1.37285,1.38635,1.51305,0.00919,0.000414739,0.000414739,0.000414739
15,740.378,1.48189,1.4955,1.38008,0.01748,0.60685,0.32807,0.35838,0.2236,1.36003,1.31309,1.49448,0.00857,0.000410026,0.000410026,0.000410026
16,790.112,1.43747,1.37059,1.35977,0.01147,0.53467,0.35996,0.37767,0.23857,1.32983,1.26918,1.45673,0.00738,0.000405314,0.000405314,0.000405314
17,839.879,1.40566,1.41284,1.38014,0.01049,0.55146,0.36554,0.37597,0.23948,1.31353,1.2362,1.40767,0.00664,0.000400602,0.000400602,0.000400602
18,888.877,1.42641,1.40758,1.37,0.01293,0.55709,0.38801,0.38426,0.24181,1.30714,1.21235,1.38719,0.00652,0.000395889,0.000395889,0.000395889
19,936.659,1.39609,1.31925,1.34251,0.00986,0.55415,0.39133,0.40977,0.2603,1.30207,1.2016,1.37799,0.00646,0.000391177,0.000391177,0.000391177
20,983.667,1.38426,1.29571,1.30389,0.00942,0.6195,0.38173,0.41561,0.26674,1.28483,1.14225,1.35231,0.00659,0.000386464,0.000386464,0.000386464
